subject,relation,object
Department of Oncology,is,Shanghai Medical College
Research Neoadjuvant concurrent chemoradiotherapy,followed by,transanal excision assisted for rectal adenocarcinoma
Human cells,maintained in,ScienCell
early immunotherapies,focused on,T cell activity
Background Immune checkpoint inhibitor therapy,has changed,drug therapy for cell lung cancer
Tumor Suppressive Function,is in,Human Breast Cancer Anticancer Research 2008 28 2135 2139
Bioinformatic analysis,reveals,pattern of associated gene expression specific to basal like breast cancers
Institute of Dermatology,is,Shanghai Academy of Traditional Chinese Medicine
"Center for Precision Health , School of Biomedical Informatics",for Center is,The University of Texas Health Science Center
T cells,is in,total PBMCs
Department of Radiation Oncology,College of,"Daejeon St. Mary ’s Hospital , College of Medicine"
HRM MAF titration,was,conducted by MAF in mixed DNA sample from 10 % in increasing DNA concentration assay from 0.25 ng μl
NIHR Bristol Nutrition Biomedical Research Unit,is partnership between,University Hospitals Bristol NHS Foundation Trust
Chemoradiation Oncology,of Department is,First Affiliated Hospital of Wenzhou Medical University
p53 special inhibitor pifithrin α,overcome,effect of BBR on cell proliferation
clinical variable model,However showed performance based,based only clinical variables in model
Ishikawa T Wondimu Z Oikawa Y Ingerpuu S Virtanen Patarroyo M Monoclonal antibodies,binding of,α6β1 integrin
Department of Medical Oncology,Department of,Australia Department of Surgery
HRM MAF titration,was,conducted by MAF in DNA sample in increasing total DNA concentration assay
Radical esophagectomy,has,has widely acknowledged with paramount importance in cure intended therapy for squamous cell carcinoma
Wu XJ Basic transcription factor,is required via,regulation in Cancer Oncol Res
Institute for Pathology,is,Academic Teaching Hospital Feldkirch
8227 leukemic cell line,was derived from,primary human AML with written consent from donor
C12 ion beam therapy,offers advantages compared,high energy x-ray therapy as for example biological efficiency
targeting monoclonal antibodies,is in,cancer therapy Oncoimmunology
National Cancer Center,is in,China Medicine
TMA construction fixed specimens,resected at,Thoraxklinik at Heidelberg University
Pembrolizumab,is,humanized monoclonal IgG4 antibody consisting of high affinity mouse region grafted with Fc region for stabilization
Illumina gene expression levels,confirm E vs,M identity of cell lines
Cell culture Human bronchial epithelial cell line HBE,were,obtained from Institute of Biochemistry
Department of Radiology,of Department is,Xinhua Hospital
National Center for Biotechnology Information,is,NCBI
Pembrolizumab,is,monoclonal IgG4 anti-PD-1 antibody consisting of affinity mouse variable region grafted
"Department of Pharmacology , College of Medicine",College of,Medicine
Computed tomography,revealed density area without,evidence of tumor of pancreatic duct
Pembrolizumab,is,IgG4 antibody consisting of affinity mouse anti-PD-1-derived region grafted with engineered Fc region
Activated NLRP3 inflammasome,cleaves 1β to,mature bioactive forms
radiotherapy,is,Although most important treatment for NSCLC
HRM MAF titration,was,conducted by MAF in DNA sample in total DNA concentration assay
Department of Oncology,of Department is,Shanghai Jiao Tong University School of Medicine
Molecular Cancer Biology,of Laboratory is,Barretos Cancer Hospital
Bristo Myers Squibb combination regimen,shows,clinically meaningful responses in first line cell lung cancer
Norwegian OSCC patient,is representative of,OSCC patient
Primary Sjögren ’s syndrome,is,in Sjögren ’s syndrome chronic autoimmune disorder characterized by focal infiltration
next generation TRK kinase inhibitor,overcomes resistance to,TRK kinase inhibition in patients with TRK fusion positive tumors Cancer Discov
Western blot analysis,is in,NIH 3 T3 cells
effective biomarkers,Therefore should ideally incorporate,features of tumor leading to comprehensive assessment of tumor biology
transplantable colon cancer induced ICD,also augmented,T cell mitochondrial function
Pembrolizumab,is,IgG4 antibody consisting of high affinity mouse region grafted with Fc region
CancerMolecular Cancer1476 4598BioMed,acts as,functional marker of cancer stem like cells
Cancer Genome Atlas Clinical Explorer,is clinically oriented summary of,genomic proteomic data organized by cancer type
Cells,were,incubated with FITC labeled anti-MAGE-A1 antibody in dark
Department of Oncology,is,Yonsei Cancer Center
Department of Dentistry,is,MacKay Memorial Hospital
Department of Gastrointestinal Surgery,Department of,Department of Molecular and Medical Pharmacology
Clinical significance,is in,human non-small cell lung cancer Tumour Biol
growth factor receptor tyrosine kinase inhibitors,are,used in therapy for cell lung cancer
pharmacological study,evaluate,effects on doxorubicin resistant human multiple myeloma cells
hemicolectomy,was performed following,strict oncologic principles with bloc resection
National Center for Biotechnology Information,is,NCBI
Uterine corpus involvement,is,predictor in uterine cancer J Gynecol Oncol 2008 19 181 184
may important therapeutic target,is in,treatment of human cancers
Tissue Array Research Program & Applied Molecular Pathology Lab.,University of,University of Ulsan College of Medicine
Masuda M Methotrexate,is,excreted into bile by canalicular multispecific anion transporter in rats Cancer Res
pulmonary microvascular cells,were purchased from,ScienCell Research Laboratories
NSCLC cell line HCC827,were purchased from,Nanjing Cobioer Biological Science
DWI MRI evaluation,has,has yet reported as tool for malignant tumors from lesions
Department of Radiology,is,Nantong Cancer Hospital
Grygielewicz P Dymek B Bujak A Gunerka P Stanczak Lamparska Przybysz M mesenchymal transition,confers resistance to,selective FGFR inhibitors in SNU 16 gastric cancer cells
H650 cells,Similarly displayed sensitivity in,our T cell mediated lung cancer cell killing assays
miRNAs,were found Out,2578 analyzed mature miRNAs
growth factor receptor tyrosine kinase inhibitors,have,In past decades have used as targeted therapy
Department of Radiotherapy,Laboratory of,Morocco Laboratory of Cytopathology
Tumor staging,was determined according,seventh edition tumor node metastasis classification of American Joint Committee on Cancer
Gastroenterology,of Division is,Department of Internal Medicine
effective biomarkers,should ideally incorporate,features of tumor leading to assessment of tumor biology
TCF 1 gene,encodes,nuclear protein uniquely expressed in T lineage lymphocytes Blood 1995 86 8 3050 3059 75793 99 20
Colangelo T Polcaro G Ziccardi Proteomic screening,identifies calreticulin as,miR 27a target repressing MHC class I cell surface exposure in colorectal cancer Cell Death Dis 2016 7
human IgG4 monoclonal antibodies,approved as,line therapy metastatic HNSCC
Department of Radiotherapy and Radiation Oncology,of Department is,University of Maryland Medical Center
YM155 induced autophagy,is in,HNSCC cells
Clinical Research Center for Breast Diseases,Laboratory of,Molecular Diagnosis
Department of Obstetrics and Gynecology,of Department is,Leiden University Medical Center
VEGFR targeting antibody ramucirumab,was,approved by Food Administration in United States for junction adenocarcinoma patients with progression
ChIP Assay,evaluating,binding to PD L1 promoter in H1299 cells
Research Center for Industry of Human Ecology,College of,"Taiwan Department of Molecular and Cellular Biology , College of Medicine"
DWI MRI evaluation,has,has reported as useful tool for malignant tumors from lesions
circulating biomarkers,level of be,In clinical application would influence
Female BALB c mice,were obtained in,Experimental Animal Center
Pembrolizumab,is,IgG4 anti-PD-1 antibody consisting of affinity mouse region grafted with engineered Fc region for stabilization
Department of Biomedical Informatics,of Department is,USA2 Center for Quantitative Sciences
clinical trial,is in,treatment of patients with non-small cell lung cancer Ann Oncol
clinical trials,considered tumor PD L1 expression as,robust biomarker
Cancer Genome Atlas Clinical Explorer,is,clinically oriented summary
T cells,mediate,tumour specific response
Department of Stomatology,School of,School of Dental Medicine
Department of Medicine,is,Southern Arizona VA Health Care System
"Department of Pharmacology , College of Pharmaceutical Sciences",Hospital of,Affiliated Suzhou Hospital of Nanjing Medical University
Cancer Genome Atlas Clinical Explorer,facilitates,use of TCGA data by cancer research
Epidermal growth factor receptor tyrosine kinase inhibitors,are,widely used in anti-tumor therapy for cell lung cancer
Department of Biomedical Informatics,of Department is,Vanderbilt University School of Medicine
Department of Internal Medicine - Section of Hematology and Oncology,of Department is,Department of General Surgery - Section of Surgical Oncology
serum CYFRA 21 1 assay,has,In our department has performed at initial diagnostic workup after based therapy since 2005
medicine,directed at,specific targets in tumors
PCR assay,analyzed mRNA level in,three p53 status cell lines
Department of Radiotherapy and Radiation Oncology,is,Faculty of Medicine and University Hospital
circulating biomarkers,level of be,In clinical application would influence of classifications including age
Department of Radiation Oncology,College of,"Daejeon St. Mary ’s Hospital , College of Medicine"
PRMT overexpression,has,has implicated in human cancers of PRMT activity
Cloosen S Cancer specific Mucin glycoforms,are expressed on,myeloma Br J Haematol
"Graduate Institute of Medicine , College of Medicine",of Institute is,Taiwan Department of Otolaryngology
Department of Pathology,is,Yale School of Medicine
lysosome biosynthesis,enhances TKI sequestration TFEB as,key transcription factor
Background Epidermal growth factor receptor,is target for,therapeutic antibody
Pembrolizumab,is,humanized IgG4 anti-PD-1 antibody consisting of affinity mouse region grafted onto human IgG4 immunoglobulin molecule with engineered Fc region
primary curative intent treatment,is with,radiotherapy
human MIR10B gene,was,For expression in immortalized RDEB KCs cloned into pMX IRES Blasticidin vector
